GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
millete,com.puntomartinez.millete.plannedtransactions.infrastructure.in.controller,PlannedTransactionController,7,276,5,11,1,91,5,15,1,11
millete,com.puntomartinez.millete.notifications.domain.model,PaginatedNotifications,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.notifications.domain.model,Notification,0,218,0,26,0,68,0,37,0,24
millete,com.puntomartinez.millete.notifications.domain.model,NotificationType,0,15,0,0,0,3,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.migration,Migration001to010,0,48,0,0,0,14,0,5,0,5
millete,com.puntomartinez.millete.dataexport.domain.migration,Migration010to020,2,101,2,4,1,37,2,7,0,6
millete,com.puntomartinez.millete.dataexport.domain.migration,MigrationChain,48,155,7,11,11,43,6,8,0,5
millete,com.puntomartinez.millete.dataexport.domain.model,PlannedTransactionSnapshot,0,45,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData.InvestmentExportRow,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportVersion,2,112,1,13,0,23,1,13,0,7
millete,com.puntomartinez.millete.dataexport.domain.model,TransactionSnapshot,0,33,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData.PlannedTransactionExportRow,0,30,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,UserPreferencesSnapshot,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData.CategoryExportRow,0,9,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,CategorySnapshot,0,27,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,PdfExportData.Summary,0,36,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,InvestmentSnapshot,0,48,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,UserDataSnapshot.SnapshotMetadata,0,12,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,PdfExportData.SavingsGoalRow,24,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.dataexport.domain.model,PdfExportData.TransactionRow,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,PdfExportData.InvestmentRow,30,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.dataexport.domain.model,UserDataSnapshot,0,31,0,2,0,4,0,2,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,PdfExportData,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,PeriodType,0,100,0,8,0,21,0,13,0,8
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData.TransactionExportRow,0,18,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,SavingsGoalSnapshot,0,36,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,CategoryImportResult,0,9,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.dataexport.domain.model,ExportData.SavingsGoalExportRow,0,24,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.notifications.application.services,NotificationService,8,152,0,14,2,56,1,17,1,10
millete,com.puntomartinez.millete.shared.infrastructure.config.scheduler,TransactionScheduler,10,0,0,0,5,0,2,0,2,0
millete,com.puntomartinez.millete.transactions.infrastructure.in.controller,TransactionController,17,364,6,14,5,107,6,20,1,15
millete,com.puntomartinez.millete.transactions.infrastructure.in.controller,TransactionController.CategoryInfo,0,9,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.infrastructure.out.users,UserLookupAdapter,58,0,0,0,17,0,6,0,6,0
millete,com.puntomartinez.millete.dataexport.infrastructure.out.categories,CategoryImportAdapter,6,133,3,11,1,44,3,6,0,2
millete,com.puntomartinez.millete.dataexport.infrastructure.out.categories,CategoryExportAdapter,0,35,0,0,0,16,0,3,0,3
millete,com.puntomartinez.millete.dashboard.infrastructure.out.transactions,TransactionQueryPostgresAdapter,0,46,0,0,0,20,0,4,0,4
millete,com.puntomartinez.millete.categories.domain.model,Category,0,173,0,24,0,58,0,24,0,12
millete,com.puntomartinez.millete.investments.infrastructure.out.persistence.postgresql.adapters,InvestmentPostgresAdapter,49,148,1,5,10,39,5,10,4,8
millete,com.puntomartinez.millete.investments.infrastructure.out.persistence.postgresql.adapters,InvestmentQueryPostgresAdapter,0,35,0,0,0,15,0,3,0,3
millete,com.puntomartinez.millete.groupgoals.domain.model,ContributionType,0,15,0,0,0,3,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.domain.model,GoalRole,0,15,0,0,0,3,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.domain.model,InvitationResult,27,0,0,0,1,0,1,0,1,0
millete,com.puntomartinez.millete.groupgoals.domain.model,GoalInvitation,20,193,4,20,4,67,4,33,0,25
millete,com.puntomartinez.millete.groupgoals.domain.model,InvitationStatus,0,27,0,0,0,5,0,1,0,1
millete,com.puntomartinez.millete.groupgoals.domain.model,GoalMember,10,237,2,24,2,69,2,36,0,25
millete,com.puntomartinez.millete.groupgoals.domain.model,DistributionMode,0,21,0,0,0,4,0,1,0,1
